Date,sp_close,return_1d,return_5d,return_10d,volatility_10d,MA_10,MA_ratio,VIX,recession,credit_spread,sentiment_proxy,future_return_10d,target_up,return_1d_raw
2010-02-01,1089.18994140625,1.2556259361456077,-0.4091887654561836,-1.5163872979636828,0.5821023771963111,1103.0550048828125,-0.8863893608604045,0.6057704576310019,1.0746465375860552,0.4066268939079801,-1.2089319906956002,-0.04163813802302524,0,0.014165305546369656
2010-02-02,1103.3199462890625,1.13872903021655,0.34836593224009277,-1.5011827015370949,0.5929549967242443,1098.3640014648438,0.14506993331622714,0.4437148743245717,1.0746465375860552,0.38800861353871446,-0.2525170235183423,-0.03647310180370247,0,0.0128895204452028
2010-02-03,1097.280029296875,-0.5452796106335313,-0.11044983271425285,-1.3331521917214504,0.563148002670818,1094.2880004882813,0.0377146717638696,0.46123450973546604,1.0746465375860552,0.4252451742772466,-0.8370305721660515,-0.048982300580521575,0,-0.005489350382538535
2010-02-04,1063.1099853515625,-2.9410166439040744,-0.98522207680658,-1.7401052039753997,0.9027697370152259,1088.9510009765625,-1.5602992057814584,1.1152962573228886,1.0746465375860552,0.499718295754311,-1.6817252953006019,-0.02369959058958599,0,-0.031635856049806906
2010-02-05,1066.18994140625,0.22276720432919717,-0.4195125327855445,-0.9176004878603554,0.7104715463068293,1086.393994140625,-1.2503604999715634,1.1196762357919017,1.0746465375860552,0.499718295754311,-1.4004994802185398,-0.037189952743756194,0,0.0028929303608266027
2010-02-08,1056.739990234375,-0.8580454995635464,-1.4413687482129685,-1.3564730018386046,0.6948654689503212,1082.389990234375,-1.5583287139003172,1.1780745563862862,1.0746465375860552,0.5369548564928431,-1.8276979692870459,-0.02002205312238424,0,-0.008902803100374192
2010-02-09,1070.52001953125,1.1448058828761818,-1.4384308887351078,-0.7979617342794431,0.8516551633608558,1080.2249877929687,-0.6698853386739948,1.1036165932040116,1.0746465375860552,0.5555731368621089,-1.801599797062935,-0.027125405419003466,0,0.01295584177358637
2010-02-10,1068.1300048828125,-0.24709822078925997,-1.2942748475503398,-1.0290501249737407,0.8196057346037181,1077.28798828125,-0.6407050812926088,1.016018973079856,1.0746465375860552,0.5741914172313753,-1.7423742464098684,-0.005603397549622921,0,-0.0022350694280074235
2010-02-11,1078.469970703125,0.8404232876996389,0.5338654357942537,-0.32888969995691547,0.8331223471527042,1076.681982421875,-0.02711169837755184,0.8057847404749137,1.0746465375860552,0.6486645387084397,-0.20705810789613244,0.0015260353804185298,1,0.009633882335101287
2010-02-12,1075.510009765625,-0.29413027583974727,0.2839709186399375,-0.09695284626174737,0.7789274429675636,1076.8459838867188,-0.20230129154929846,0.6262098002227471,1.0746465375860552,0.6859010994469718,-0.42263296129071476,0.005201383370310307,1,-0.0027483661199411307
