Date,sp500,ret_1d,ret_5d,ret_10d,vol_10d
2000-01-18,91.60308837890624,-0.0078675,-0.002991292,0.002578383,0.4045188113416149
2000-01-19,92.34911346435548,0.008144104,0.0173007940729479,0.0518779085081142,0.3390845074974524
2000-01-20,90.93562316894533,-0.015305943,0.0117956811958139,0.0339284733752736,0.3545077751842876
2000-01-21,90.73931884765624,-0.002158718,-0.003879326,0.048547976,0.3394963022502098
2000-01-24,88.16752624511719,-0.028342648,-0.045077303,-0.037092253,0.2153335775206265
2000-01-25,89.16875457763672,0.0113559762325188,-0.026574801,-0.029486599,0.2260785371021253
2000-01-26,88.46194458007812,-0.007926655,-0.042092108,-0.025519541,0.2224219845345061
2000-01-27,88.10863494873047,-0.003993917,-0.031087797,-0.019658818,0.218812780692366
2000-01-28,85.36011505126953,-0.031194671,-0.05928195,-0.062931303,0.244197170640823
2000-01-31,87.67671203613281,0.027139103,-0.005566837,-0.050393201,0.2818106742503214
2000-02-01,88.54053497314453,0.009852365,-0.007045289,-0.033432862,0.2906878220991741
2000-02-02,88.61911774,0.000887534,0.001776732,-0.040390163,0.2849543685328399
2000-02-03,89.95404052734375,0.0150635982914186,0.0209446620037536,-0.010794259,0.291822022
2000-02-04,89.58100891113281,-0.004146913,0.0494480807263215,-0.012765248,0.2922264697204869
2000-02-07,89.44363403320312,-0.001533527,0.0201526945529406,0.0144736712305866,0.2503089539254046
2000-02-08,90.66075897216795,0.0136077313060984,0.0239463653530727,0.0167323677626585,0.2530194198297527
2000-02-09,88.75646973,-0.021004559,0.001549914,0.003329399,0.2746530392433021
2000-02-10,88.93317413330078,0.00199089,-0.011348755,0.009358211,0.2735719370835175
2000-02-11,87.12702941894531,-0.02030901,-0.02739397,0.0206995312344004,0.2411672464814916
2000-02-14,87.63743591308594,0.005858188,-0.020193702,-0.000447965,0.1994980728198664
2000-02-15,88.62886810302734,0.0113128844952132,-0.022412021,0.000997658,0.20163549729465
2000-02-16,87.32334137,-0.014730265,-0.016146748,-0.01462186,0.21489146266002
2000-02-17,86.87177276611328,-0.005171225,-0.023179217,-0.034264917,0.1945586220057905
2000-02-18,85.00674438476562,-0.02146875,-0.02433556,-0.051062882,0.2147708942208482
2000-02-22,84.79080200195312,-0.002540297,-0.03248194,-0.052019711,0.2143559678305897
2000-02-23,85.79205322265625,0.011808488622151,-0.032007798,-0.05370246,0.2100725113556724
2000-02-24,84.06437683105469,-0.020137954,-0.037320658,-0.052864799,0.2083106545506786
2000-02-25,83.76008605957031,-0.003619735,-0.035819307,-0.058168261,0.2046550272267287
2000-02-28,85.51716613769531,0.020977534,0.006004485,-0.018477197,0.2269894844071337
2000-02-29,86.34170532226562,0.009641797,0.0182909382113967,-0.014785127,0.2313039002582621
2000-03-01,86.96994018554688,0.007276146,0.0137295579094447,-0.018717693,0.2259201899242525
2000-03-02,87.02885437011719,0.000677409,0.0352643729819142,-0.003372374,0.2141555992554916
2000-03-03,88.65833282470703,0.0187234276078136,0.0584794858216008,0.0205654840658511,0.2316746645576509
2000-03-06,87.79451751708984,-0.009743194,0.026630342,0.032794729,0.2040580567558854
2000-03-07,86.09631348,-0.019342939,-0.002842101,0.015396853,0.2329286981311698
2000-03-08,85.98834991455078,-0.001253986,-0.011286546,0.002288052,0.2260690290905148
2000-03-09,88.50128173828125,0.029224096,0.0169188412144563,0.052779847,0.236556198446892
2000-03-10,88.03006744384766,-0.005324378,-0.007086366,0.050978713,0.2384939087457425
2000-03-13,87.06814575195312,-0.010927195,-0.008273544,0.0181364711239437,0.2326739020215814
2000-03-14,85.83132172,-0.014205241,-0.003077853,-0.005911206,0.2410865667282404
2000-03-15,87.83376312,0.023329961,0.0214612003816989,0.009932431,0.2675797092537126
2000-03-16,91.93685150146484,0.04671425,0.038819435105396,0.0563950561784356,0.3519621540861867
2000-03-17,92.54447174072266,0.006609104,0.051282527,0.043832754,0.344606623
2000-03-20,92.07211303710938,-0.005104127,0.0574718485381779,0.048722809,0.3399908152111704
2000-03-21,93.96157074,0.0205214982073365,0.094723568,0.09135417,0.3183710846098108
2000-03-22,94.53237915039062,0.006074913,0.076264705,0.099362637,0.3138827156703018
2000-03-23,96.14626312,0.017072288,0.045785901,0.086382719,0.2982473014263475
2000-03-24,96.71703338623048,0.005936479,0.045087098,0.098681805,0.2888672535535723
2000-03-27,95.69360352,-0.010581692,0.039333196,0.099065596,0.2881841298967641
2000-03-28,95.14247894,-0.005759262,0.0125679912950356,0.1084820440880303,0.271239866
2000-03-29,95.24092864990234,0.001034761,0.00749531,0.084331643,0.2646799502659219
2000-03-30,93.64669036865234,-0.016739004,-0.025997607,0.0185979706642471,0.1866732820223128
2000-03-31,94.70949554,0.0113490948969725,-0.020756818,0.0233944152793543,0.1914715472758398
2000-04-03,95.26061248779295,0.005819025,-0.004524765,0.0346304580779901,0.1873226649633071
2000-04-04,94.55203247070312,-0.007438332,-0.006205919,0.006284077,0.1676184411455551
2000-04-05,93.96157074,-0.006244834,-0.013432858,-0.006038232,0.1679182242266708
2000-04-06,94.77835845947266,0.008692785,0.0120844429884852,-0.014227331,0.1472897242447991
2000-04-07,95.37866973876952,0.006333843,0.007065545,-0.013837931,0.1478558171490647
